text,scorelist,sentimentprediction
buhari will lose election he knows this in his heart the reason he going upandan begging and bribing voters,0.0,[0]
ask them what buhari has done to improve nigeria in any way they say nothing stupid people,0.0,[4]
buhari was abacha die hard supporter even till date no wonder they both have lot in common,-4.0,[4]
just hope this buba galadima man makes sufficient money from pdp atiku cos he may commit suicide after feb elections if buhari remains the president,1.0,[4]
liked video buhari vs jubril nigerians awake,2.0,[4]
not surprised buhari emptied the ptf treasury as it chairman the frail oldie is fantastic criminal,-1.0,[4]
reason my government is slow in fighting corruption buhari via,0.0,[0]
atiku lauds buhari for admitting failure in fight against corruption by nvs news read more at,-3.0,[0]
nigeria democratic system slowing me down says buhari read more,0.0,[0]
alhaji buba galadima has said that come may president muhammadu buhari will not be the individual to be sworn in galadima said this on wednesday while speaking on sunrise,-2.0,[4]
buhari will not be president come may says buba galadima oracle,-2.0,[0]
buhari would handover to atiku come may galadima,0.0,[4]
had bet today on whatsapp group for significant sum that buhari will get more votes in the south east in than he did in do not know who will win in but am betting more igbos igbo governors politicians will deliver more votes than what obtained in,1.0,[0]
you re the problem not the system atiku tackles buhari again,-4.0,[4]
lawmakers who booed buhari behaved like animals sagay,2.0,[4]
do not see anyone that is following buhari that have common sense,-2.0,[4]
and also because lot of his supporters did not go out to vote buhari will win again if people stay at home on election day instead of flooding the pooling booths to vote him out,3.0,[4]
president buhari and vp osinbajo sing merry christmas to nigerians watch video,3.0,[4]
you re the problem not the system atiku tackles buhari again,-4.0,[4]
nigerian president muhammadu buhari has said the country democratic system of government is responsible for his slow performance since elected in buhari who was former,2.0,[0]
how can their paper sell without people seeing buhari on the head lines,0.0,[0]
buhari illegitimately enriching some of his poor relatives buba galadima,-2.0,[0]
buhari illegitimately enriching some of his poor relatives buba galadima,-2.0,[0]
stale everybody kn aows buhari is looter except poltroons like you,2.0,[0]
for where when banks are still merging after buhari said recession is over,-2.0,[0]
if you have any iota of shame why are you still supporting buhari and not any of those candidates,-3.0,[0]
zamfara massacre sack your security chiefs pdp tells president buhari,0.0,[4]
zamfara killing pdp charges buhari to reappraise strategies starconnect media,-5.0,[0]
zamfara killing pdp charges buhari to reappraise strategies via,-5.0,[0]
the presidential candidate of the peoples democratic party pdp alhaji atiku abubakar has told president muhammadu buhari not to blame the nigerian system,-4.0,[4]
stop blaming nigerian system for your anti corruption failure atiku replies buhari,-6.0,[0]
obviously because the social influencers are not truthful themselves they have their hidden agenda which make them good money at the expense of the poor just like buhari was fighting fake corruption fight it looked genuine initially until the truth was obvious,-3.0,[0]
only the brain damage nigerians that will trust buhari,-2.0,[4]
lawmakers who booed buhari behaved like animals sagay,2.0,[4]
not even one bandit have been arrested by the igp why do buhari want to extend his time,-3.0,[0]
presidency buba galadima discloses how buhari has already handed over to atiku,0.0,[4]
buhari who carried scorpion in his pocket should say saraki of the apc has failed him you decided to be deliberately slow to earn him the tag go slow,-2.0,[0]
