Date,Text,Username,Location
2018-12-26 07:44:41,"@aligthebaptist @atiku Atiku have learned from Obasanjo and Buhari, only person them dey worry for village, will take the next generation of young Nigerians for granted, We are aware, angry and capable...

Atiku will focus on his vision and will the select best team to actualise that vision.",Micky_Sele,"Lagos | Sunderland, England"
2018-12-26 07:43:55,"Buhari can never make sense to those who have no sense. It takes sense to understand Buhari.  If you dont have it, forget it.",sabo_abdulmumin,
2018-12-26 07:43:53,"THE PSYCHOLOGICAL WAR IN ZAMFARA
To have people thinking that Buhari has failed is the point of sponsored Zamfara atrocities.  They seem to be winning, but God willing they shall fail",sabo_abdulmumin,
2018-12-26 07:43:52,"@beebah5 @ATM_ReGe But wailers who are living around that place will still say,you are a liar, to God be the glory Nigeria sai baba Buhari.",FatimaIsahWazi1,
2018-12-26 07:43:35,"@sweetfm1071 We all know that Buhari is not an outgoing person who has interest in what goes on around him. He hasn't added any educational/business value to himself since 1985. So, we expect that cabal will work with him at old age. #GOP",jonathan_ola,Lagos
2018-12-26 07:43:26,"@TogetherNG @MBuhari Buhari is a fraud and failure, this advert is pure propaganda, no arrests was made, no single individual prisoned and you want people to believe you.",Agahs23,"Jackson, WY"
2018-12-26 07:43:21,@majestiqal @GovAyoFayose Which lies?Buhari has done many evil that u people don't even aware of but if Buhari say this u Yoruba will believe him hmmmm,OyedeleOyekunl9,Lagos 
2018-12-26 07:43:19,"@Laurestar @atiku @MBuhari @Ayourb @Zahrahmusa @BryteDude @ApanpaOlasumbo @cbngov_akin1 @MrAbuSidiq PTF  fund under buhari,,,,,  what happened",Awosman2,Australia
2018-12-26 07:43:17,"Reminds me of a convo I had with someone yesterday.

Guy said Buhari is not stealing and that the stealing right now has reduced.

I almost fainted from shock.

A government that has perfected financial obscurity is not stealing?

I could not believe my ears.",afrispheric,
2018-12-26 07:43:17,"@tolu_tezzy How old is buhari, lemme see him answer what even the owner of the age no know",savage_symon,Emirates
2018-12-26 07:42:57,"@DrCOmole @CTVpolitics @channelstv I said it during that show, told my dad that this analyst is Pro APC, man said that no living northerner can defeat Buhari in the north, never knew he's a card carrying member of the party, @channelstv is and has always been partisan, now that's pathetic!!",iamSirgid,"Lagos, Nigeria"
2018-12-26 07:42:50,"@AGalala18 @john_danfulani @MBuhari Looool...Buhari and Democrat in the same sentence??? I never knew that making family issues public means that you are a Democrat???in that case Abacha was a Democrat cos knew about his family issues. Mobutu, khadafi, Idi Amin of Uganda...the list goes on. They are all democrats.",toothdoctorfmdr,
2018-12-26 07:42:44,Buhari: It’s the system that is slow — not me,JasperLegend1,Bedroom
2018-12-26 07:42:04,"@vanguardngrnews @vanguardngr Aisha pls, expose your fake husband so peace will rain in Nigeria.. Buhari started all this Boko haram nonsense since his CPC days",chybuz_vic,"Federal Capital, Abuja"
2018-12-26 07:41:43,"I’ll continue as Baba Go Slow until I retrieve every stolen money –Buhari
But Nigeria's problems are more than the stolen money sir.",oladeji_bayo,"Abuja, Nigeria"
2018-12-26 07:41:28,@IsaacOnyemaUgo3 @GovAyoFayose So can u prove it may be Buhari is alive or not,OyedeleOyekunl9,Lagos 
2018-12-26 07:41:26,"For Pres Buhari is talk down on the genuine concerns of his wife, Aisha is unfortunate... What a man! Aisha appears to know more about the happenings in Aso rock! She isn't insane or frivolous as being portrayed by her husband! Nigeria is at a crossroad! #FreeDejiAdeyanjuNOW",shirleysmind,Lagos
2018-12-26 07:41:02,"Christmas: Nigerians commend Buhari, Baru for ensuring availability of fuel
~Legit",TahirAbuAshraf,"Abuja, Jalingo, Gassol"
2018-12-26 07:41:02,"@iameneji @channelstv @sunrisedailynow @chamberlainusoh @nneotaegbe He is an angry old fool who went running after pieces of bread while the baker was baking the main
Bread so let him continue to cry, he will cry till end of baba Buhari term of 8yrs.",FatimaIsahWazi1,
2018-12-26 07:40:55,"Happy birthday Women leader🎉🎊@aishatu_xx may Allah protect and bless your age....
Allah sa Baba Buhari yayi double 4😆🙌🙌",MuslimAzu,"shira, Nigeria"
2018-12-26 07:40:55,"@AustinYugo @IjeleNnia @meks2850 @Mrkabal The reason I am most surprised at Buhari isn't the fact that he's illiterate in many things. It is the inability to bring in &amp; enable those who know &amp; can't think, to come up with the policies &amp; drive it. If you are dumb, must you keep company of dumb people?",EmperohNedu,Abuja
2018-12-26 07:40:55,@N_fateemah Wearing buhari's t..shirt and tieing atiku's wrapper,AbbaAliyarima1,"Maiduguri, Nigeria"
2018-12-26 07:40:46,Atiku could have had a chance against any other candidate from apc besides Buhari..,shadysheikh,Red Rock
2018-12-26 07:40:19,@Buhari_Ghandi Amin!,adegboye_afeez,
2018-12-26 07:40:18,@NGRPresident Kogi state governor Yahaya Bello.. Is one of the most corrupted governor in Nigeria he's not doing anything good in the state...just saying if buhari win he must win Wat does that means..,flqless,kogi nigeria
2018-12-26 07:40:14,@iameneji @channelstv @sunrisedailynow @chamberlainusoh @nneotaegbe It shows Galadima has always been jealous of Buhari and his family for years.,ayekhemheferdi1,Louix
2018-12-26 07:39:50,@skillzmike I swr !! Buhari scatter plans 😂😂 i go soon dissapear again 😂,Olisinho_______,"Victoria Island, Nigeria"
2018-12-26 07:39:41,@profvialy1 @NGRWailers @OlayinkaLere @john_danfulani @AMADICHIMA @jacksonpbn @bolanle_cole @GhenhisKhan @MrFixNigeria @I_Am_Ilemona @bukolasaraki Hahahaha we are bad sons you mean! Buhari is also a father and your leader and you came after him. Like wise people say “ you get what you give”,doma_sadeeq,"Abuja, Nigeria"
2018-12-26 07:39:34,@AliyuGatumi @FirstBankngr @gtbank @DiamondBankNG @ZenithBank @StanbicIBTC Oshe! Please I will go and open stanbic tomorrow gan! In this life we need to have better options than #atiku or #buhari 😂😂😂.,tuoyo_9,Lagos
2018-12-26 07:39:33,@Orsu24News No truer statement can be made to end the year.Buhari is hardship itself.,bryan_okojie,
2018-12-26 07:39:28,"@ProfOsinbajo @MBuhari Ur a university student, you intend to vote for Buhari, while ASUU is on strike.
N50 billion was approved for cattle ranching in Kaduna alone, yet you are undeterred, Buhari has your vote: Please add yourself to any of the cattle ranches of your choice; you are a human cow...🐃",chineduodira,"Lagos, Nigeria"
2018-12-26 07:39:24,@HAHayatu Does Buhari know there's an app called Twitter?,IbukunAyomide8,"Chicago, IL"
2018-12-26 07:39:09,"@puffyxos @ProfOsinbajo @MBuhari I wish you had used your brain correctly bcos if you do, you would not have accused your dad of being ignorant on social media. I’ve never voted for Buhari before but this time, he has my vote. My decision is based on the 2015 U.K. Parliament’s report that exposed GEJ deception.",Fest_Akin,London/Lagos
2018-12-26 07:38:56,"@iameneji @channelstv @sunrisedailynow @chamberlainusoh @nneotaegbe He is even making a FALSE claim against the President family, claiming Buhari families owns all the newly built Luxury houses in Daura. Galadima has forgotten that there is a life after 2019 election. If I am Buhari, I will never allow such person close to my family again",ayekhemheferdi1,Louix
2018-12-26 07:38:52,@aykay_umr @ernestebule @zege123 @AttahirBabaji @omonlakiki @atiku He doesn't even know anything. Just cuz she's an orphan he concluded that it's BokoHaram. They hate Buhari for no reason. That's why we will never support ATIKU. Igbos are so wicked even to their own people. Just look at TP to the East from Abuja #5500 to #16000. Wicked people,MOHD_Ks,"Abuja, Nigeria"
2018-12-26 07:38:51,@sexiamy88 @GovAyoFayose Likewise APC government lead by Buhari,OyedeleOyekunl9,Lagos 
2018-12-26 07:38:39,"@MBuhari @Ifeoluw43920904 This old man buhari can do anything because of election whether you they like it or not no more years for them 
Company of ugly men.....
People are dying in Zamfara daily yet you are singing nonsense song here a man that went to RCCG and refused to take off his cup shame on you",Omoba07849610,"Ikeja, Nigeria"
2018-12-26 07:38:23,@Buhari_Ghandi @scarfizal  that one na talk wey dey comot for @saraki mouth? What a pity,fakolade_tj,"Lagos, Nigeria"
2018-12-26 07:38:22,"@JuwonAdeoti @GovAyoFayose What should have happened to Borne state?when IPOB declared terrorist but does Fulani herdsmen declare as one under Buhari,is it Tinubu that made democracy Abuser to recognized as integrity man in Yoruba land?",OyedeleOyekunl9,Lagos 
2018-12-26 07:38:17,"@sunrisedailynow Tell them Alj. Galadima,tell those blind supporters in APC never to use the word integrity with buhari,there is thievery by his relatives,he looks the other way, killings &amp; more killing by his kinsmen,he looks the other way,so stop the nonsense about integrity",isioma56,"Los Angeles, CA"
2018-12-26 07:38:09,"We all know that Buhari is not an outgoing person who has interest in what goes on around him. He hasn't added any educational/business value to himself since 1985. So, we expect that cabal will work with him at old age. #GOP",jonathan_ola,Lagos
2018-12-26 07:37:40,How are you going through this Buhari-fied holidays without Teni's 'Uyo Meyo' on repeat? Just how?,Prince_Jacon,Nigeria
2018-12-26 07:37:35,"@YouthsForAtiku
Tinubu want to be President in 23

Osibanjo want to be President in 23

Fashola want to be President in 23

Amosun want to be President in 23

Fayemi want to be President in 23

They want us to manage Buhari for another 4 good yrs for them to be President in 2023!",WirelessSoldier,Ibadan
2018-12-26 07:37:27,"So what your guest is saying is that, for example, the @nigerianstat figures about unemployment cannot be said to be reliable because we are not sure of how many we are in Nigeria? Another Buhari apologist! @nneotaegbe @chamberlainusoh",harry_femi,
2018-12-26 07:37:18,"You are part of Nigeria problem if you get offended when someone call the likes of Tinubu, Obasanjo, Atiku, Buhari &amp; Babangida thieves. You need to research the past actions of these individuals or check your personal value system VOTE SOWORE 5/5",TheIOShowa,Nigeria
2018-12-26 07:36:40,@HAHayatu Does Buhari know what twitter is?,coral_227,nig.
2018-12-26 07:36:17,Buhari has a one-of-its-kind anointing of destruction of beauty &amp; nature. Peruse events of 1983-1985 &amp; 29th May 2015 to date to appreciate my take.,john_danfulani,"Kaduna, Nigeria"
2018-12-26 07:36:13,"@benmurraybruce @atiku The guy, if is Buhari doesn't fall in any of the category. He is lifeless and can't produce nor consume.",Igwe_Obodo1,
2018-12-26 07:36:12,@Primus_BandP @oluwapower @atiku I no fit support Buhari. Fela don warn us before against these people. Buhari n baba iyabo. But we no de gree hear word,Opemipo16,Lagos
2018-12-26 07:35:45,@kennygee_70 @mabziz Juliet &amp; that Jumoke are spirit sisters from across d Niger. United in their hatred of Buhari &amp; unending toxicity. Its not good for the soul Oloun. I don't block unless u insult. But I shudder@ d toxicity ppl carry o. Sometimes I just think they need an orgasm 2 calm down.😇,Gbolahanguitar,"Lagos, Nigeria"
2018-12-26 07:35:24,@GizaLawal @OlayinkaLere The longest fuel scarcity ever in the democratic era was under Buhari.,upblues1,
2018-12-26 07:35:17,"Do President Buhari and  Aisha Buhari speak at home, as in speak like husband and wife?",Abolaji4Adex,Nigeria
2018-12-26 07:35:10,Does Buhari know he has a twitter account,HAHayatu,Abuja-Kaduna-Maiduguri 
2018-12-26 07:35:07,"@anthonyabakporo @jibril_taiwo @gbemiro @Bb_MsIncredible @OluwatoyinBalo3 @nytimesworld I think some anti buhari's should start looking at the foundation of the house and not just the roofing. 
U can't correct the foundation unless u do some demolitions and renovations",olafamouskay,closer to ur heart 
2018-12-26 07:34:30,@nkylondon @bukolasaraki @SPNigeria @OnemolaOlu @OfficialPDPNig @Onile050 @babaidris090 @nytimesworld @yusufalabere @daily_trust @chiefow @shewn007 From where to where? Man of NDIGBOS. U re free 2 adopt him. He is an outcast 2 d Yorubas. Someone who is deliberately working against d Yorubas. Lagos-Ibadan express way budget money was slashed 4 selfish interest. Simply bcos he doesn't want Buhari 2 succeed.,AdeshinaOwolab5,
2018-12-26 07:34:25,"@Opemipo16 @oluwapower @atiku Forget long story, support buhari with your chest!",Primus_BandP,Nigeria
2018-12-26 07:34:16,@Itz_SmartAngel @GovAyoFayose But if Buhari or Akpabio said this u will accept it,OyedeleOyekunl9,Lagos 
2018-12-26 07:34:10,@BashirAhmaad @Mvnaaa___ He is just 69? And here I was thinking his dragging age with Buhari 🙄,MARYAM530,Jahnna
2018-12-26 07:34:09,"@iameneji @channelstv @sunrisedailynow @chamberlainusoh @nneotaegbe The man is a disappointment,a man at his age is suppose to show a sense of decorum. Why rubbish the number seat of the federation just because you hate Buhari. imagine saying the Trader Moni giving to poor traders is a Toni Anini style.",ayekhemheferdi1,Louix
2018-12-26 07:33:45,"when everything about you come out, i dont know how to control myself and my feelings.",syahirah_buhari,Malaysia
2018-12-26 07:33:42,@owoademola @igalaman @FMICNigeria @toluogunlesi Not a problem but only after Buhari is back in Daura,dezmonds01,
2018-12-26 07:33:39,"@GovAyoFayose Dear Hausa /Fulani.
In 2007 BUHARI picked Edwin Ume-Ezeoke, yet the Igbos voted Yaradua!

BUHARI can not manage the economy, as you have seen it. Experience they say is the best teacher.

WE HATE POVERTY.",CoronaPresents,Australia
2018-12-26 07:33:32,"@john_danfulani @IsraelAdeniyiA1 Danmumu Danmugun, This is Nigeria not Egypt and Turkey. They av their reasons for the symbolic sign but for naija is a political sign which means Sai baba jubril Sai baba Buhari rule for anoda four years weather d enemies of naija likes it or not. Up APC",johncrowna3,"Lagos, Nigeria"
2018-12-26 07:33:29,"@GovAyoFayose SEASONS GREETINGS .

Dear Yorubas,

90% of Ndi Igbo will vote ATIKU in the next election.

It is not because he picked Peter Obi.

In 2003 BUHARI picked Chuba Okadigbo and the Igbos voted OBASANJO.

We are business oriented people, we know bad market when we see one.",CoronaPresents,Australia
2018-12-26 07:32:52,"@ogundamisi @atiku A lot of people's minds and brain's has been rewired and dangerously mis-managed to the point low-lifeless reasoning by this fake, corrupt president Buhari and APC empty talks.",Ucheorji14,
2018-12-26 07:32:33,"@InibeheEffiong I disagree Inibehe. 
Buhari is not a ""complete failure"".
Lawyers deal with facts. The facts say that this administration has some serious successes particularly in Social and welfare programs. Our infrastructure is getting started. Boko Haram are out of our Urban centres.",abiodunosemobor,Planet Earth
2018-12-26 07:32:22,"@daveisatweet @GodfreyMayuku @RepuBLiCLaN @Hailfinger1 @MBuhari @OfficialPDPNig @renoomokri @officialKolaO @benmurraybruce @realFFK @john_danfulani @YemieFASH @USEmbassyAbuja @UKinNigeria @EmmanuelMacron Help me educate him. I don't know why people are too sentimental because they are sympathetic to an individual. @MBuhari and @atiku  Isn't a better option. But Buhari need to go back to daura like Gej, and if Atiku mess up, we will send him back to Adamawa",odunukwechassis,
2018-12-26 07:32:15,"@kayoderazaq @toluogunlesi @FMPWH Last I chked the voting age in 9ja was 18.
If u do't think I'm more than 18 yrs of age, then no wonder u are still supporting Buhari after everything. 
By the way, I v a Bachelor's degree in Electrical Engineering. Lst I chked the varsity entry age in 9ja was 16, so u do the math",Nalexgee1,
2018-12-26 07:31:45,The affliction called Buhari will not rise the second time.,realNCNC,"Enugu, Nigeria"
